OldName,NewName,Side,Card,Player,Team,Set,Method
IMG_3674.JPEG,josh-hammond__kansas-city-royals__bd-185__back.jpg,back,BD-185,Josh Hammond,Kansas City Royals,bowman-draft-2025,cardno
IMG_3675.JPEG,grant-richardson__athletics__bd-171__front.jpg,front,BD-171,Grant Richardson,Athletics,bowman-draft-2025,cardno
IMG_3676.JPEG,grant-richardson__athletics__bd-171__back.jpg,back,BD-171,Grant Richardson,Athletics,bowman-draft-2025,cardno
IMG_3677.JPEG,cooper-flemming__tampa-bay-rays__bd-166__front.jpg,front,BD-166,Cooper Flemming,Tampa Bay Rays,bowman-draft-2025,player-partial
IMG_3678.JPEG,cooper-flemming__tampa-bay-rays__bd-166__back.jpg,back,BD-166,Cooper Flemming,Tampa Bay Rays,bowman-draft-2025,player-partial
IMG_3679.JPEG,sadaharu-oh__yomiuri-giants__bd-201__front.jpg,front,BD-201,Sadaharu Oh,Yomiuri Giants,bowman-draft-2025,cardno
IMG_3680.JPEG,sadaharu-oh__yomiuri-giants__bd-201__back.jpg,back,BD-201,Sadaharu Oh,Yomiuri Giants,bowman-draft-2025,cardno
IMG_3681.JPEG,ethan-hedges__colorado-rockies__bd-148__front.jpg,front,BD-148,Ethan Hedges,Colorado Rockies,bowman-draft-2025,cardno
IMG_3682.JPEG,ethan-hedges__colorado-rockies__bd-148__back.jpg,back,BD-148,Ethan Hedges,Colorado Rockies,bowman-draft-2025,cardno
IMG_3683.JPEG,mitch-voit__new-york-mets__bd-71__front.jpg,front,BD-71,Mitch Voit,New York Mets,bowman-draft-2025,player-partial
IMG_3684.JPEG,mitch-voit__new-york-mets__bd-71__back.jpg,back,BD-71,Mitch Voit,New York Mets,bowman-draft-2025,player-partial
IMG_3685.JPEG,tommy-troy__arizona-diamondbacks__bd-36__front.jpg,front,BD-36,Tommy Troy,Arizona Diamondbacks,bowman-draft-2025,cardno
IMG_3686.JPEG,tommy-troy__arizona-diamondbacks__bd-36__back.jpg,back,BD-36,Tommy Troy,Arizona Diamondbacks,bowman-draft-2025,cardno
IMG_3687.JPEG,tanner-franklin__st-louis-cardinals__bd-90__front.jpg,front,BD-90,Tanner Franklin,St. Louis Cardinals,bowman-draft-2025,player-partial
IMG_3688.JPEG,tanner-franklin__st-louis-cardinals__bd-90__back.jpg,back,BD-90,Tanner Franklin,St. Louis Cardinals,bowman-draft-2025,player-partial
IMG_3689.JPEG,nick-becker__seattle-mariners__bd-100__front.jpg,front,BD-100,Nick Becker,Seattle Mariners,bowman-draft-2025,cardno
IMG_3690.JPEG,nick-becker__seattle-mariners__bd-100__back.jpg,back,BD-100,Nick Becker,Seattle Mariners,bowman-draft-2025,cardno
IMG_3691.JPEG,hagen-smith__chicago-white-sox__bd-167__front.jpg,front,BD-167,Hagen Smith,Chicago White Sox,bowman-draft-2025,player-partial
IMG_3692.JPEG,hagen-smith__chicago-white-sox__bd-167__back.jpg,back,BD-167,Hagen Smith,Chicago White Sox,bowman-draft-2025,player-partial
IMG_3693.JPEG,blake-mitchell__kansas-city-royals__bd-160__front.jpg,front,BD-160,Blake Mitchell,Kansas City Royals,bowman-draft-2025,player-partial
IMG_3694.JPEG,blake-mitchell__kansas-city-royals__bd-160__back.jpg,back,BD-160,Blake Mitchell,Kansas City Royals,bowman-draft-2025,player-partial
IMG_3695.JPEG,gavin-turley__athletics__bd-28__front.jpg,front,BD-28,Gavin Turley,Athletics,bowman-draft-2025,player-partial
IMG_3696.JPEG,gavin-turley__athletics__bd-28__back.jpg,back,BD-28,Gavin Turley,Athletics,bowman-draft-2025,player-partial
IMG_3697.JPEG,jefferson-rojas__chicago-cubs__bd-75__front.jpg,front,BD-75,Jefferson Rojas,Chicago Cubs,bowman-draft-2025,player-partial
IMG_3698.JPEG,jefferson-rojas__chicago-cubs__bd-75__back.jpg,back,BD-75,Jefferson Rojas,Chicago Cubs,bowman-draft-2025,player-partial
IMG_3699.JPEG,matthew-fisher__philadelphia-phillies__bd-106__front.jpg,front,BD-106,Matthew Fisher,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3700.JPEG,matthew-fisher__philadelphia-phillies__bd-106__back.jpg,back,BD-106,Matthew Fisher,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3701.JPEG,josh-owens__texas-rangers__bd-119__front.jpg,front,BD-119,Josh Owens,Texas Rangers,bowman-draft-2025,player-partial
IMG_3702.JPEG,josh-owens__texas-rangers__bd-119__back.jpg,back,BD-119,Josh Owens,Texas Rangers,bowman-draft-2025,player-partial
IMG_3703.JPEG,xavier-neyens__houston-astros__bd-2__front.jpg,front,BD-2,Xavier Neyens,Houston Astros,bowman-draft-2025,player-partial
IMG_3704.JPEG,xavier-neyens__houston-astros__bd-2__back.jpg,back,BD-2,Xavier Neyens,Houston Astros,bowman-draft-2025,player-partial
IMG_3705.JPEG,zach-root__los-angeles-dodgers__bd-22__front.jpg,front,BD-22,Zach Root,Los Angeles Dodgers,bowman-draft-2025,player-partial
IMG_3706.JPEG,zach-root__los-angeles-dodgers__bd-22__back.jpg,back,BD-22,Zach Root,Los Angeles Dodgers,bowman-draft-2025,player-partial
IMG_3707.JPEG,sebastian-walcott__texas-rangers__bd-169__front.jpg,front,BD-169,Sebastian Walcott,Texas Rangers,bowman-draft-2025,player-partial
IMG_3708.JPEG,sebastian-walcott__texas-rangers__bd-169__back.jpg,back,BD-169,Sebastian Walcott,Texas Rangers,bowman-draft-2025,player-partial
IMG_3709.JPEG,jordan-yost__detroit-tigers__bd-162__back__dup-1.jpg,back,BD-162,Jordan Yost,Detroit Tigers,bowman-draft-2025,player-partial
