Base Set,,,
,,,
200 cards,,,
Parallels,,,
,,,
Purple Foil /299,,,
Fuchsia Foil /199,,,
Sparkle Foil /175,,,
Blue Foil /150,,,
Green Foil /99,,,
Aqua Foil /75,,,
Gold Foil /50,,,
Orange Foil /25,,,
Red Foil /10,,,
FoilFractor /1,,,
,,,
PD-105,Rodney Green,Stockton Ports,
PD-106,Nathan Flewelling,FCL Rays,
PD-107,Kevin McGonigle,West Michigan Whitecaps,
PD-108,Thayron Liranzo,West Michigan Whitecaps,
PD-109,Sam Antonacci,Kannapolis Cannon Ballers,
PD-110,Kavares Tears,ACL Padres,
PD-111,Cole Fontenelle,Rocket City Trash Pandas,
PD-112,Kyle Henley,Daytona Tortugas,
PD-113,Aidan Miller,Reading Fightin Phils,
PD-114,Cole Carrigg,Spokane Indians,
PD-115,Dylan Dreiling,Hub City Spartanburgers,
PD-116,Max Clark,West Michigan Whitecaps,
PD-117,Esteban Gonzalez,Lake County Captains,
PD-118,Christopher Familia,Hudson Valley Renegades,
PD-119,Andrew Painter,Reading Fightin Phils,
PD-120,Zander Mueth,Bradenton Marauders,
PD-121,Jared Serna,Jacksonville Jumbo Shrimp,
PD-122,Bryce Rainer,FCL Tigers,
PD-123,Seaver King,Fredericksburg Nationals,
PD-124,Bernard Moon,Daytona Tortugas,
PD-125,Ryan Stafford,Aberdeen IronBirds,
PD-126,Demetrio Crisantes,Visalia Rawhide,
PD-127,Carson Williams,Montgomery Biscuits,
PD-128,Matt Shaw,Iowa Cubs,
PD-129,Kash Mayfield,ACL Padres,
PD-130,Nazzan Zanetello,Salem Red Sox,
PD-131,Jared Sundstrom,Arkansas Travelers,
PD-132,Braylin Morel,ACL Rangers,
PD-133,Asbel Gonzalez,Northwest Arkansas Naturals,
PD-134,Carson Rucker,FCL Tigers,
PD-135,Jay Beshears,Pensacola Blue Wahoos,
PD-136,Cam Smith,Corpus Christi Hooks,
PD-137,Lisbel Diaz,San Jose Giants,
PD-138,Franklin Arias,Salem Red Sox,
PD-139,Zyhir Hope,Rancho Cucamonga Quakes,
PD-140,Dillon Head,Jupiter Hammerheads,
PD-141,Ryan Campos,Palm Beach Cardinals,
PD-142,Eddie Rynders,FCL Pirates,
PD-143,Nate Nankil,Lansing Lugnuts,
PD-144,Drew Beam,ACL Royals,
PD-145,Blake Wright,Fresno Grizzlies,
PD-146,Dakota Jordan,San Jose Giants,
PD-147,Nick Montgomery,FCL Braves,
PD-148,Bryce Cunningham,FCL Yankees,
PD-149,Nick Mitchell,Lynchburg Hillcats,
PD-150,Jonathan Santucci,St. Lucie Mets,
PD-151,Jaime Ferrer,Fort Myers Mighty Mussels,
PD-152,Carson DeMartini,Clearwater Threshers,
PD-153,Eli Serrano,St. Lucie Mets,
PD-154,Chase Davis,Springfield Cardinals,
PD-155,Echedry Vargas,Beloit Sky Carp,
PD-156,Jonny Farmelo,Modesto Nuts,
PD-157,Brandon Sproat,Syracuse Mets,
PD-158,Yohandy Morales,Harrisburg Senators,
PD-159,Charlee Soto,Fort Myers Mighty Mussels,
PD-160,Caleb Durbin,Nashville Sounds,
PD-161,Ronny Hernandez,Kannapolis Cannon Ballers,
PD-162,Jonathon Long,Knoxville Smokies,
PD-163,PJ Morlando,Jupiter Hammerheads,
PD-164,Brailer Guerrero,FCL Rays,
PD-165,Ty Southisene,ACL Cubs,
PD-166,James Tibbs III,Eugene Emeralds,
PD-167,Chase Harlan,ACL Dodgers,
PD-168,Ryan Waldschmidt,Visalia Rawhide,
PD-169,Chase Burns,ACL Reds,
PD-170,Samuel Basallo,Norfolk Tides,
PD-171,Esteban Mejia,Hub City Spartanburgers,
PD-172,Pablo Guerrero,Hub City Spartanburgers,
PD-173,Eduardo Tait,Clearwater Threshers,
PD-174,Luis Baez,Corpus Christi Hooks,
PD-175,Tyson Lewis,ACL Reds,
PD-176,Cole Messina,Spokane Indians,
PD-177,Jaison Chourio,Lynchburg Hillcats,
PD-178,Blake Burke,Wisconsin Timber Rattlers,
PD-179,Hyun-Seok Jang,Rancho Cucamonga Quakes,
PD-180,Gage Miller,Beloit Sky Carp,
PD-181,Aidan Smith,Bowling Green Hot Rods,
PD-182,George Wolkow,Kannapolis Cannon Ballers,
PD-183,Jonah Tong,Binghamton Rumble Ponies,
PD-184,Slade Caldwell,ACL Diamondbacks,
PD-185,Kyle Teel,Charlotte Knights,
PD-186,Ben Hess,FCL Yankees,
PD-187,Carter Johnson,Jupiter Hammerheads,
PD-188,Casey Cook,Hub City Spartanburgers,
PD-189,Josh Caron,Modesto Nuts,
