OldName,NewName,CardCode,Player,MinorTeam,Status,Note
IMG_3880.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A 5 PFD - Z 1 54 9 2 -G JOR-RE 4 T W85 3DESEE PP A H PL F - JF"
IMG_3882.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: AX AS OUBG OS 7S"
IMG_3884.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: 68 F S3 S S 5 NG R 28"
IMG_3886.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: T6- 6 O ES GD"
IMG_3888.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: G OT"
IMG_3890.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: - - P - M S - - - - - - 6 WB F FF - S ES - - - S - - - 2 -R 1 - SA - A - - - - - - C - A 5K - 7 SL - - S - - -"
IMG_3892.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: TE A2G- CO 4 EIND S"
IMG_3894.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: O 2 9UO-"
IMG_3896.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: S 3"
IMG_3898.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: -A3- ZOR -O BO"
IMG_3900.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: F OS 0"
IMG_3902.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A3S- O TT GD 7"
IMG_3907.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A C OR -4O1"
IMG_3909.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: 75 WS -T"
IMG_3911.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: ZUG 5H"
IMG_3913.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: - 4 T S 7 7 F 0 W G RS - 2 -"
IMG_3915.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: Y 0 E6 34"
IMG_3917.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A2G- AO OPE S 7C 3S"
IMG_3919.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: O UR 8 EHC-"
IMG_3921.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: X26 CO UR S SS"
IMG_3923.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: CO C OO-"
IMG_3925.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: O- M"
IMG_3927.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A0-- --J"
IMG_3929.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: T-O CO U E1O 5 3"
IMG_3931.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A2- A108 OR -O 1O"
IMG_3933.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: AG OBS SO 9CR"
IMG_3935.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: - S RVG- O BW O"
IMG_3937.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A CKO OAZ -E-CO A"
IMG_3939.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: IO OI 0 4 IO"
IMG_3941.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: K SCR 5"
IMG_3943.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: 2 BPI- 1P103206 - - 4"
IMG_3945.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: RESESLC REDTRADEMARK MP103214"
IMG_3950.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: RF -3 E QO 2"
IMG_3952.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: AVG CKU DO 3G O"
IMG_3954.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: SEY BR 3 R 25 QS"
IMG_3956.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A2- GAO- S SNO"
