OldName,NewName,CardCode,Player,MinorTeam,Status,Note
IMG_3881.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A 5 PFD - Z 1 54 9 2 -G JOR-RE 4 T W85 3DESEE PP A H PL F - JF"
IMG_3883.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: AX AS OUBG OS 7S"
IMG_3885.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: 68 F S3 S S 5 NG R 28"
IMG_3887.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: T6- 6 O ES GD"
IMG_3889.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: G OT"
IMG_3891.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: - - P - M S - - - - - - 6 WB F FF - S ES - - - S - - - 2 -R 1 - SA - A - - - - - - C - A 5K - 7 SL - - S - - -"
IMG_3893.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: TE A2G- CO 4 EIND S"
IMG_3895.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: O 2 9UO-"
IMG_3897.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: S 3"
IMG_3899.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: -A3- ZOR -O BO"
IMG_3901.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: F OS 0"
IMG_3903.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A3S- O TT GD 7"
IMG_3908.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A C OR -4O1"
IMG_3910.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: 75 WS -T"
IMG_3912.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: ZUG 5H"
IMG_3914.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: - 4 T S 7 7 F 0 W G RS - 2 -"
IMG_3916.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: Y 0 E6 34"
IMG_3918.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A2G- AO OPE S 7C 3S"
IMG_3920.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: O UR 8 EHC-"
IMG_3922.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: X26 CO UR S SS"
IMG_3924.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: CO C OO-"
IMG_3926.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: O- M"
IMG_3928.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A0-- --J"
IMG_3930.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: T-O CO U E1O 5 3"
IMG_3932.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: A2- A108 OR -O 1O"
IMG_3934.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: AG OBS SO 9CR"
IMG_3936.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: - S RVG- O BW O"
IMG_3938.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A CKO OAZ -E-CO A"
IMG_3940.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: IO OI 0 4 IO"
IMG_3942.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: K SCR 5"
IMG_3944.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: 2 BPI- 1P103206 - - 4"
IMG_3946.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: RESESLC REDTRADEMARK MP103214"
IMG_3951.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: RF -3 E QO 2"
IMG_3953.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: AVG CKU DO 3G O"
IMG_3955.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=invbin165,psm=6: SEY BR 3 R 25 QS"
IMG_3957.JPEG,,,,,NO_CODE,"rot=0,roi=bottomright_tight,v=inv,psm=6: A2- GAO- S SNO"
